1.6526,1.6471,1.6491,1.6553,1.6438
0.0032,0.0023,0.002,0.0017,0.0026
0.0002576,0.0002621,0.0002744,0.0002381,0.0001493
5.46E-05,5.13E-05,5.35E-05,5.01E-05,4.84E-05
1.846,1.8454,1.8423,1.8466,1.843
0.0013,0.0017,0.0013,0.0023,0.0015
0.0002695,0.0002236,0.0002909,0.000209,0.0003114
3.81E-05,3.58E-05,3.77E-05,3.36E-05,3.95E-05
1.9245,1.92,1.92,1.9216,1.9197
0.0012,0.0001,0.0001,0.0008,0.0011
0.0009924,0.0008078,0.0006943,0.0008512,0.0007874
5.55E-05,4.9E-05,4.56E-05,4.96E-05,5E-05
4.8982,4.9006,4.8959,4.9015,4.8898
0.0017,0.0026,0.0029,0.003,0.0042
0.0001694,0.0001419,0.0001631,0.0001524,0.000203
1.82E-05,1.9E-05,2.01E-05,2.13E-05,2.44E-05
5.1401,5.0523,5.0602,5.0303,5.0372
0.0046,0.0086,0.0132,0.0076,0.0168
3.26E-05,2.85E-05,2.5E-05,2.5E-05,5.3E-05
1.12E-05,9.2E-06,6.2E-06,3.9E-06,1.94E-05
5.2223,5.2223,5.222,5.2178,5.2131
0.0008,0.0012,0,0.0047,0.0055
7.88E-05,7.2E-05,0.0001404,0.0001034,0.0002024
1.69E-05,1.73E-05,2.07E-05,1.82E-05,2.36E-05
5.4037,5.4088,5.4199,5.3859,5.4014
0.014,0.0089,0,0.0078,0.0197
1.71E-05,3.37E-05,1.62E-05,6.43E-05,2.43E-05
9.6E-06,1.6E-05,0,1.69E-05,1.63E-05
6.4051,6.3982,6.3993,6.3972,6.3968
0.0019,0.0019,0.0032,0.0015,0.0025
0.000215,0.0002371,0.0002512,0.0002337,0.0002391
1.39E-05,1.4E-05,2.34E-05,1.39E-05,1.48E-05
6.6871,6.6903,6.677,6.6978,6.6853
0.0085,0.0046,0.0059,0.0051,0.0084
6.01E-05,6.73E-05,0.0001265,6.7E-05,7.43E-05
1.05E-05,1.12E-05,2.02E-05,1.06E-05,1.16E-05
6.8593,6.8506,6.8589,6.87,6.9091
0.0126,0.0152,0,0.0058,0
2.01E-05,2E-05,2.01E-05,5.57E-05,3.91E-05
0,1.8E-06,0,9.5E-06,1.13E-05
6.8873,6.889,6.8898,6.9296,6.8734
0.0032,0.0031,0.0069,0.0008,0.0026
0.0001018,0.0001156,0.0001556,7.5E-05,9.69E-05
1.12E-05,1.09E-05,1.95E-05,0,1.16E-05
6.9157,6.9697,6.9697,6.9987,6.9912
0.0075,0,0.0006,0.0077,0.0068
5E-05,6.46E-05,0.000152,5E-05,6.49E-05
0,1.02E-05,1.55E-05,1.3E-06,1.09E-05
7.2811,7.3313,7.3466,7.333,7.3313
0,0,0.0113,0.0077,0
2.67E-05,3.74E-05,0.0002171,3.76E-05,6.19E-05
9.5E-06,9.7E-06,1.73E-05,9.6E-06,1.12E-05
8.7083,8.7115,8.712,8.709,8.7039
0.0078,0.0075,0.0066,0.0073,0.0065
0.0001036,0.0001228,6.99E-05,6.66E-05,7.42E-05
1.37E-05,1.48E-05,1.14E-05,1.15E-05,1.17E-05
